Depth,Map,Width,Height,Time1,Time2,Time3,Time4,Time5,Time6,Time7,Time8,Time9,Time10,AvgTime,Nodes
7,A,100,100,0.001009,0.000984,0.000997,0.001012,0.000996,0.000997,0.000998,0.000997,0.001009,0.000997,0.0009996,5357
7,A,200,200,0.001995,0.002992,0.002992,0.002993,0.002993,0.001995,0.001997,0.00299,0.001995,0.001994,0.0024936,2337
7,A,400,400,0.006976,0.007978,0.006982,0.006981,0.005988,0.005983,0.006983,0.005012,0.005978,0.006006,0.0064867,1893
7,A,500,500,0.006981,0.006981,0.007979,0.006981,0.007978,0.006982,0.007979,0.008976,0.008015,0.008975,0.0077827,2017
7,A,600,600,0.009964,0.007974,0.008983,0.010965,0.011972,0.010982,0.011915,0.009974,0.00998,0.010935,0.0103644,1893
7,A,1000,1000,0.024933,0.026928,0.02793,0.025962,0.025929,0.02294,0.024894,0.022975,0.023941,0.021936,0.0248368,1269
7,A,1500,1500,0.06682,0.062864,0.05881,0.060878,0.058802,0.067819,0.065832,0.063821,0.075829,0.062837,0.0644312,1297
7,A,3000,3000,0.258354,0.269236,0.314159,0.266287,0.271317,0.278213,0.278256,0.27231,0.256276,0.274267,0.273868,1281
7,B,100,100,0.000997,0.000998,0.001978,0.000999,0.000996,0.000998,0.001993,0.000998,0.000997,0.000997,0.0011951,7913
7,B,200,200,0.002989,0.002993,0.002991,0.002997,0.003035,0.003027,0.003,0.002949,0.003035,0.002951,0.0029967,3637
7,B,400,400,0.008022,0.00802,0.007988,0.007936,0.008967,0.006997,0.00896,0.006981,0.007979,0.007987,0.0079837,3253
7,B,500,500,0.009974,0.01097,0.011968,0.010971,0.01097,0.009974,0.009973,0.009973,0.009974,0.008976,0.0103723,2745
7,B,600,600,0.012966,0.013962,0.011968,0.013963,0.012965,0.013974,0.011957,0.012965,0.012965,0.012966,0.0130651,2681
7,B,1000,1000,0.031915,0.034908,0.031957,0.032909,0.036905,0.056807,0.047904,0.033913,0.035913,0.033952,0.0377083,2637
7,B,1500,1500,0.070814,0.069812,0.071805,0.071806,0.069817,0.070808,0.071767,0.071852,0.074801,0.070808,0.071409,2533
7,B,3000,3000,0.375952,0.386964,0.361036,0.324177,0.30718,0.312163,0.307185,0.349051,0.347083,0.308171,0.337896,2565
