(562.5 412.5), (571.875 421.875)
(525 375), (562.5 412.5)
(562.5 393.75), (581.25 412.5)
(553.125 412.5), (562.5 421.875)
(571.875 412.5), (581.25 421.875)
(562.5 421.875), (571.875 431.25)
(571.875 421.875), (581.25 431.25)
