(375 187.5), (384.375 196.875)
(300 150), (375 225)
(375 178.125), (384.375 187.5)
(384.375 187.5), (393.75 196.875)
(375 196.875), (384.375 206.25)
(384.375 196.875), (393.75 206.25)
