(403.125 168.75), (412.5 178.125)
(393.75 159.375), (403.125 168.75)
(403.125 159.375), (412.5 168.75)
(393.75 168.75), (403.125 178.125)
(403.125 178.125), (412.5 187.5)
(412.5 150), (450 187.5)
