(18.75 206.25), (37.5 225)
(9.375 196.875), (18.75 206.25)
(18.75 187.5), (37.5 206.25)
(9.375 206.25), (18.75 215.625)
(9.375 215.625), (18.75 225)
(37.5 187.5), (75 225)
(18.75 225), (37.5 243.75)
(37.5 225), (75 262.5)
