(562.5 450), (571.875 459.375)
(543.75 431.25), (562.5 450)
(562.5 431.25), (581.25 450)
(553.125 450), (562.5 459.375)
(571.875 450), (581.25 459.375)
(562.5 459.375), (571.875 468.75)
(571.875 459.375), (581.25 468.75)
