(525 581.25), (534.375 590.625)
(506.25 562.5), (525 581.25)
(515.625 581.25), (525 590.625)
(525 562.5), (543.75 581.25)
(534.375 581.25), (543.75 590.625)
(525 590.625), (534.375 600)
(534.375 590.625), (543.75 600)
