(9.375 365.625), (18.75 375)
(0 356.25), (9.375 365.625)
(9.375 356.25), (18.75 365.625)
(0 365.625), (9.375 375)
(18.75 356.25), (37.5 375)
(9.375 375), (18.75 384.375)
(18.75 375), (37.5 393.75)
