(412.5 300), (450 337.5)
(393.75 281.25), (412.5 300)
(412.5 262.5), (450 300)
(393.75 300), (412.5 318.75)
(393.75 318.75), (412.5 337.5)
(412.5 337.5), (450 375)
(450 300), (525 375)
