(356.25 440.625), (365.625 450)
(337.5 431.25), (356.25 450)
(356.25 431.25), (365.625 440.625)
(365.625 440.625), (375 450)
(356.25 450), (365.625 459.375)
(365.625 450), (375 459.375)
