(281.25 562.5), (300 581.25)
(262.5 525), (300 562.5)
(262.5 562.5), (281.25 581.25)
(290.625 581.25), (300 590.625)
(300 562.5), (318.75 581.25)
(300 581.25), (309.375 590.625)
