(187.5 75), (225 112.5)
(150 37.5), (187.5 75)
(187.5 37.5), (225 75)
(150 75), (187.5 112.5)
(206.25 112.5), (225 131.25)
(225 75), (262.5 112.5)
(225 112.5), (243.75 131.25)
