(18.75 56.25), (37.5 75)
(9.375 46.875), (18.75 56.25)
(18.75 37.5), (37.5 56.25)
(9.375 56.25), (18.75 65.625)
(9.375 65.625), (18.75 75)
(37.5 37.5), (75 75)
(18.75 75), (37.5 93.75)
(37.5 75), (75 112.5)
