(337.5 431.25), (356.25 450)
(300 412.5), (337.5 450)
(337.5 421.875), (346.875 431.25)
(356.25 431.25), (365.625 440.625)
(356.25 440.625), (365.625 450)
(337.5 450), (356.25 468.75)
(356.25 450), (365.625 459.375)
