(75 337.5), (112.5 375)
(37.5 300), (75 337.5)
(37.5 337.5), (75 375)
(75 300), (112.5 337.5)
(112.5 337.5), (131.25 356.25)
(112.5 356.25), (131.25 375)
(75 375), (112.5 412.5)
(112.5 375), (131.25 393.75)
