(356.25 18.75), (375 37.5)
(346.875 9.375), (356.25 18.75)
(356.25 9.375), (365.625 18.75)
(337.5 18.75), (356.25 37.5)
(337.5 37.5), (375 75)
(375 18.75), (384.375 28.125)
(375 28.125), (384.375 37.5)
(375 37.5), (384.375 46.875)
