(37.5 300), (75 337.5)
(18.75 281.25), (37.5 300)
(37.5 262.5), (75 300)
(18.75 300), (37.5 318.75)
(18.75 318.75), (37.5 337.5)
(37.5 337.5), (75 375)
(75 300), (112.5 337.5)
(75 337.5), (112.5 375)
