(375 28.125), (384.375 37.5)
(356.25 18.75), (375 37.5)
(375 18.75), (384.375 28.125)
(384.375 28.125), (393.75 37.5)
(375 37.5), (384.375 46.875)
(384.375 37.5), (393.75 46.875)
