(37.5 112.5), (75 150)
(18.75 93.75), (37.5 112.5)
(37.5 75), (75 112.5)
(18.75 112.5), (37.5 131.25)
(18.75 131.25), (37.5 150)
(75 112.5), (112.5 150)
(37.5 150), (75 187.5)
(75 150), (150 225)
