(375 93.75), (384.375 103.125)
(300 75), (375 150)
(375 84.375), (384.375 93.75)
(384.375 93.75), (393.75 103.125)
(375 103.125), (384.375 112.5)
(384.375 103.125), (393.75 112.5)
