(243.75 140.625), (253.125 150)
(234.375 131.25), (243.75 140.625)
(234.375 140.625), (243.75 150)
(243.75 131.25), (253.125 140.625)
(253.125 140.625), (262.5 150)
(225 150), (300 225)
