(384.375 234.375), (393.75 243.75)
(375 225), (384.375 234.375)
(384.375 225), (393.75 234.375)
(375 234.375), (384.375 243.75)
(393.75 234.375), (403.125 243.75)
(375 243.75), (393.75 262.5)
(393.75 243.75), (403.125 253.125)
