(375 243.75), (393.75 262.5)
(365.625 234.375), (375 243.75)
(356.25 243.75), (375 262.5)
(375 234.375), (384.375 243.75)
(393.75 243.75), (403.125 253.125)
(393.75 253.125), (403.125 262.5)
(384.375 262.5), (393.75 271.875)
(393.75 262.5), (412.5 281.25)
