(525 150), (562.5 187.5)
(450 75), (525 150)
(525 112.5), (562.5 150)
(450 150), (525 225)
(562.5 150), (581.25 168.75)
(562.5 168.75), (581.25 187.5)
(525 187.5), (562.5 225)
(562.5 187.5), (581.25 206.25)
