(225 225), (262.5 262.5)
(150 150), (225 225)
(225 150), (300 225)
(187.5 225), (225 262.5)
(262.5 225), (271.875 234.375)
(262.5 234.375), (271.875 243.75)
(262.5 243.75), (281.25 262.5)
(225 262.5), (262.5 300)
(262.5 262.5), (300 300)
