(9.375 281.25), (18.75 290.625)
(0 271.875), (9.375 281.25)
(9.375 271.875), (18.75 281.25)
(0 281.25), (9.375 290.625)
(9.375 290.625), (18.75 300)
(18.75 281.25), (37.5 300)
