(178.125 581.25), (187.5 590.625)
(168.75 562.5), (187.5 581.25)
(168.75 581.25), (178.125 590.625)
(178.125 590.625), (187.5 600)
(187.5 581.25), (196.875 590.625)
(187.5 590.625), (196.875 600)
