(384.375 300), (393.75 309.375)
(375 290.625), (384.375 300)
(384.375 290.625), (393.75 300)
(375 300), (384.375 309.375)
(384.375 309.375), (393.75 318.75)
(393.75 300), (412.5 318.75)
