(131.25 412.5), (140.625 421.875)
(112.5 393.75), (131.25 412.5)
(131.25 403.125), (140.625 412.5)
(112.5 412.5), (131.25 431.25)
(140.625 412.5), (150 421.875)
(131.25 421.875), (140.625 431.25)
(140.625 421.875), (150 431.25)
