(393.75 75), (403.125 84.375)
(384.375 65.625), (393.75 75)
(393.75 65.625), (403.125 75)
(384.375 75), (393.75 84.375)
(403.125 75), (412.5 84.375)
(393.75 84.375), (403.125 93.75)
(403.125 84.375), (412.5 93.75)
