(525 562.5), (543.75 581.25)
(487.5 525), (525 562.5)
(506.25 562.5), (525 581.25)
(525 525), (562.5 562.5)
(543.75 562.5), (562.5 581.25)
(534.375 581.25), (543.75 590.625)
(543.75 581.25), (553.125 590.625)
