(403.125 75), (412.5 84.375)
(393.75 65.625), (403.125 75)
(403.125 65.625), (412.5 75)
(393.75 75), (403.125 84.375)
(403.125 84.375), (412.5 93.75)
(412.5 75), (450 112.5)
