(168.75 281.25), (187.5 300)
(150 262.5), (168.75 281.25)
(168.75 262.5), (187.5 281.25)
(159.375 281.25), (168.75 290.625)
(159.375 290.625), (168.75 300)
(187.5 262.5), (225 300)
(168.75 300), (187.5 318.75)
(187.5 300), (225 337.5)
