(225 75), (262.5 112.5)
(187.5 37.5), (225 75)
(225 37.5), (262.5 75)
(187.5 75), (225 112.5)
(262.5 75), (300 112.5)
(243.75 112.5), (262.5 131.25)
(262.5 112.5), (300 150)
