(75 487.5), (112.5 525)
(37.5 450), (75 487.5)
(37.5 487.5), (75 525)
(75 450), (112.5 487.5)
(112.5 487.5), (131.25 506.25)
(112.5 506.25), (131.25 525)
(75 525), (112.5 562.5)
(112.5 525), (131.25 543.75)
