(159.375 290.625), (168.75 300)
(150 281.25), (159.375 290.625)
(159.375 281.25), (168.75 290.625)
(150 290.625), (159.375 300)
(168.75 281.25), (187.5 300)
(159.375 300), (168.75 309.375)
(168.75 300), (187.5 318.75)
