(300 243.75), (318.75 262.5)
(290.625 234.375), (300 243.75)
(281.25 243.75), (300 262.5)
(300 234.375), (309.375 243.75)
(318.75 243.75), (337.5 262.5)
(300 262.5), (337.5 300)
