(9.375 375), (18.75 384.375)
(0 365.625), (9.375 375)
(9.375 365.625), (18.75 375)
(0 375), (9.375 384.375)
(9.375 384.375), (18.75 393.75)
(18.75 375), (37.5 393.75)
