(515.625 459.375), (525 468.75)
(506.25 450), (515.625 459.375)
(515.625 450), (525 459.375)
(506.25 459.375), (515.625 468.75)
(506.25 468.75), (525 487.5)
(525 459.375), (534.375 468.75)
(525 468.75), (543.75 487.5)
