(262.5 262.5), (300 300)
(225 225), (262.5 262.5)
(262.5 243.75), (281.25 262.5)
(225 262.5), (262.5 300)
(300 262.5), (337.5 300)
(290.625 300), (300 309.375)
(300 300), (309.375 309.375)
