(300 262.5), (337.5 300)
(281.25 243.75), (300 262.5)
(262.5 262.5), (300 300)
(300 243.75), (318.75 262.5)
(337.5 262.5), (375 300)
(328.125 300), (337.5 309.375)
(337.5 300), (346.875 309.375)
