(440.625 9.375), (450 18.75)
(431.25 0), (440.625 9.375)
(440.625 0), (450 9.375)
(431.25 9.375), (440.625 18.75)
(431.25 18.75), (450 37.5)
(450 9.375), (459.375 18.75)
(450 18.75), (468.75 37.5)
