(168.75 140.625), (178.125 150)
(159.375 131.25), (168.75 140.625)
(159.375 140.625), (168.75 150)
(168.75 131.25), (178.125 140.625)
(178.125 140.625), (187.5 150)
(150 150), (225 225)
