(75 412.5), (112.5 450)
(37.5 375), (75 412.5)
(37.5 412.5), (75 450)
(75 375), (112.5 412.5)
(112.5 412.5), (131.25 431.25)
(112.5 431.25), (131.25 450)
(75 450), (112.5 487.5)
(112.5 450), (131.25 468.75)
