(450 225), (525 300)
(412.5 187.5), (450 225)
(412.5 225), (450 262.5)
(412.5 262.5), (450 300)
(450 150), (525 225)
(525 225), (562.5 262.5)
(525 262.5), (562.5 300)
(450 300), (525 375)
(525 300), (562.5 337.5)
