(300 9.375), (309.375 18.75)
(290.625 0), (300 9.375)
(290.625 9.375), (300 18.75)
(300 0), (309.375 9.375)
(309.375 9.375), (318.75 18.75)
(300 18.75), (318.75 37.5)
