(75 450), (112.5 487.5)
(37.5 412.5), (75 450)
(75 412.5), (112.5 450)
(37.5 450), (75 487.5)
(112.5 450), (131.25 468.75)
(112.5 468.75), (131.25 487.5)
(75 487.5), (112.5 525)
(112.5 487.5), (131.25 506.25)
