(18.75 337.5), (37.5 356.25)
(9.375 328.125), (18.75 337.5)
(18.75 318.75), (37.5 337.5)
(9.375 337.5), (18.75 346.875)
(9.375 346.875), (18.75 356.25)
(18.75 356.25), (37.5 375)
(37.5 337.5), (75 375)
