(375 262.5), (384.375 271.875)
(356.25 243.75), (375 262.5)
(337.5 262.5), (375 300)
(375 243.75), (393.75 262.5)
(384.375 262.5), (393.75 271.875)
(375 271.875), (384.375 281.25)
(384.375 271.875), (393.75 281.25)
