(562.5 18.75), (581.25 37.5)
(553.125 9.375), (562.5 18.75)
(543.75 18.75), (562.5 37.5)
(562.5 9.375), (571.875 18.75)
(581.25 18.75), (590.625 28.125)
(581.25 28.125), (590.625 37.5)
(562.5 37.5), (581.25 56.25)
(581.25 37.5), (590.625 46.875)
