(412.5 112.5), (450 150)
(403.125 103.125), (412.5 112.5)
(412.5 75), (450 112.5)
(403.125 112.5), (412.5 121.875)
(403.125 121.875), (412.5 131.25)
(403.125 131.25), (412.5 140.625)
(403.125 140.625), (412.5 150)
(450 75), (525 150)
(412.5 150), (450 187.5)
(450 150), (525 225)
