(403.125 225), (412.5 234.375)
(393.75 215.625), (403.125 225)
(403.125 215.625), (412.5 225)
(393.75 225), (403.125 234.375)
(403.125 234.375), (412.5 243.75)
(412.5 225), (450 262.5)
