(562.5 131.25), (581.25 150)
(525 112.5), (562.5 150)
(562.5 112.5), (581.25 131.25)
(581.25 131.25), (590.625 140.625)
(581.25 140.625), (590.625 150)
(562.5 150), (581.25 168.75)
(581.25 150), (590.625 159.375)
