(525 225), (562.5 262.5)
(450 150), (525 225)
(525 187.5), (562.5 225)
(450 225), (525 300)
(562.5 225), (581.25 243.75)
(562.5 243.75), (581.25 262.5)
(525 262.5), (562.5 300)
(562.5 262.5), (581.25 281.25)
