(225 562.5), (243.75 581.25)
(187.5 525), (225 562.5)
(206.25 562.5), (225 581.25)
(225 525), (262.5 562.5)
(243.75 562.5), (262.5 581.25)
(234.375 581.25), (243.75 590.625)
(243.75 581.25), (253.125 590.625)
