(37.5 337.5), (75 375)
(18.75 318.75), (37.5 337.5)
(37.5 300), (75 337.5)
(18.75 337.5), (37.5 356.25)
(18.75 356.25), (37.5 375)
(75 337.5), (112.5 375)
(37.5 375), (75 412.5)
(75 375), (112.5 412.5)
