(450 375), (487.5 412.5)
(412.5 337.5), (450 375)
(375 375), (450 450)
(450 300), (525 375)
(487.5 375), (525 412.5)
(478.125 412.5), (487.5 421.875)
(487.5 412.5), (496.875 421.875)
