(150 262.5), (168.75 281.25)
(112.5 225), (150 262.5)
(131.25 262.5), (150 281.25)
(150 225), (187.5 262.5)
(168.75 262.5), (187.5 281.25)
(159.375 281.25), (168.75 290.625)
(168.75 281.25), (187.5 300)
