(159.375 515.625), (168.75 525)
(150 506.25), (159.375 515.625)
(159.375 506.25), (168.75 515.625)
(150 515.625), (159.375 525)
(168.75 506.25), (187.5 525)
(159.375 525), (168.75 534.375)
(168.75 525), (187.5 543.75)
