(18.75 131.25), (37.5 150)
(9.375 121.875), (18.75 131.25)
(18.75 112.5), (37.5 131.25)
(9.375 131.25), (18.75 140.625)
(9.375 140.625), (18.75 150)
(37.5 112.5), (75 150)
(18.75 150), (37.5 168.75)
(37.5 150), (75 187.5)
