(290.625 309.375), (300 318.75)
(281.25 300), (290.625 309.375)
(290.625 300), (300 309.375)
(281.25 309.375), (290.625 318.75)
(281.25 318.75), (300 337.5)
(300 309.375), (309.375 318.75)
(300 318.75), (318.75 337.5)
