(150 365.625), (159.375 375)
(140.625 356.25), (150 365.625)
(140.625 365.625), (150 375)
(150 356.25), (159.375 365.625)
(159.375 365.625), (168.75 375)
(150 375), (159.375 384.375)
(159.375 375), (168.75 384.375)
