(300 562.5), (318.75 581.25)
(262.5 525), (300 562.5)
(281.25 562.5), (300 581.25)
(300 525), (337.5 562.5)
(318.75 562.5), (337.5 581.25)
(309.375 581.25), (318.75 590.625)
(318.75 581.25), (328.125 590.625)
