(412.5 262.5), (450 300)
(403.125 253.125), (412.5 262.5)
(412.5 225), (450 262.5)
(393.75 262.5), (412.5 281.25)
(393.75 281.25), (412.5 300)
(450 225), (525 300)
(412.5 300), (450 337.5)
(450 300), (525 375)
